,beds_genandacute_noncovid,ventbeds_noncovid,address,Date,Local Health Board,coordinates,lat,lon
930,569,5,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",01-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
931,579,6,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",02-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
932,587,6,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",03-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
933,609,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",04-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
934,603,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",05-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
935,624,5,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",06-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
936,645,6,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",07-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
937,633,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",08-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
938,600,4,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",09-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
939,638,0,"Abercynon, Rhondda Cynon Taff CF45 4SN, Wales",10-May-20,Cwm Taf Morgannwg University Local Health Board,"[51.64576365, -3.32393760900226]",51.64576365,-3.32393760900226
